Dénomination sociale;Rue 1;Rue 2;Rue 3;Ville;Code postal;Code département;Catégorie;Dep;Tél;latitude;longitude;lat-lon
ECOLE MUNICIPALE DE MUSIQUE DE COUBRON;Rue Raoul Larches;;;COUBRON;93470;93;Ecole de musique et de danse municipale ou intercommunale;93;;48.914292;2.579189;48.914292, 2.579189
CONSERVATOIRE DE DRANCY;93, rue de la République;;;DRANCY;93700;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 48 96 39 23;48.924352;2.437343;48.924352, 2.437343
MAISON DU THÉÂTRE ET DE LA DANSE D'EPINAY-SUR-SEINE;75-81 avenue de la Marne;;;EPINAY-SUR-SEINE;93800;93;Ecole de musique et de danse municipale ou intercommunale;93;;48.954484;2.326918;48.954484, 2.326918
CONSERVATOIRE DE NOGENT-SUR-MARNE - FRANÇIS POULENC;Hôtel des Coignard;150  grande rue Charles De Gaulle;;NOGENT-SUR-MARNE;94130;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 48 71 64 20;48.837966;2.488687;48.837966, 2.488687
CONSERVATOIRE DU VAL DE BIÈVRE - GENTILLY;2 rue Jules Ferry;;;GENTILLY;94250;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 55 01 04 87;48.812545;2.350668;48.812545, 2.350668
CONSERVATOIRE DE THIAIS - ACADÉMIE DES ARTS;5 Place du Général Leclerc;;;THIAIS;94320;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 46 81 72 00;48.765474;2.393584;48.765474, 2.393584
CONSERVATOIRE DE VITRY-SUR-SEINE;71 rue Camille Groult;;;VITRY-SUR-SEINE;94400;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 55 53 14 90;48.787475;2.397546;48.787475, 2.397546
ECOLE MUNICIPALE DE MUSIQUE DE VILLECRESNES;49 rue du Lieutenant Dagorno;;;VILLECRESNES;94440;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.722673;2.533324;48.722673, 2.533324
CONSERVATOIRE DE MAROLLES-EN-BRIE;PLACE CHARLES DE GAULLE;;;MAROLLES-EN-BRIE;94440;94;CRC/CRI - Conservatoire à rayonnement communal;94;;48.725805;2.570171;48.725805, 2.570171
CONSERVATOIRE DE CHAMPIGNY-SUR-MARNE - OLIVIER MESSAIEN;4 rue Proudhon;;;CHAMPIGNY-SUR-MARNE;94500;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 45 16 91 07;48.823386;2.512843;48.823386, 2.512843
ECOLE MUNICIPALE DE MUSIQUE DE LA QUEUE-EN-BRIE;Mairie;Place du 18 juin 40;;LA-QUEUE-EN-BRIE;94510;94;Ecole de musique et de danse municipale ou intercommunale;94;01 45 93 39 85;48.784673;2.58011;48.784673, 2.58011
CONSERVATOIRE DE CHEVILLY-LARUE;102 avenue du Général De Gaulle;;;CHEVILLY-LARUE;94550;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 56 70 42 45;48.770432;2.350955;48.770432, 2.350955
CONSERVATOIRE DE CERGY-PONTOISE;Parvis de la Préfecture;BP 80 309;;CERGY-PONTOISE CEDEX;95027;95;CRR - Conservatoire à rayonnement régional;95;01 34 41 42 53;49.036288;2.07849;49.036288, 2.07849
CONSERVATOIRE D'ARGENTEUIL;50 boulevard Héloïse;;;ARGENTEUIL;95100;95;CRD - Conservatoire à rayonnement départemental;95;01.39.61.70.01;48.941863;2.252314;48.941863, 2.252314
CONSERVATOIRE DE MONTMORENCY;Orangerie;23 rue du Temple;;MONTMORENCY;95160;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 34 28 20 50;48.983833;2.316994;48.983833, 2.316994
CONSERVATOIRE DE GOUSSAINVILLE;82 Boulevard Paul Vaillant Couturier;Parvis Espace Sarah Bernhardt;;GOUSSAINVILLE;95191;95;CRC/CRI - Conservatoire à rayonnement communal;95;;49.032251;2.472189;49.032251, 2.472189
ECOLE MUNICIPALE DE MUSIQUE DE BEAUCHAMP;Château de la Chesnaie;4 rue Jules Michelet;;BEAUCHAMP;95250;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.006642;2.202272;49.006642, 2.202272
ECOLE MUNICIPALE DE MUSIQUE DE MONTIGNY-LES-CORMEILLES;Rue Vincent Van Gogh;;;MONTIGNY-LÈS-CORMEILLES;95370;95;Ecole de musique et de danse municipale ou intercommunale;95;;48.997091;2.198999;48.997091, 2.198999
CONSERVATOIRE D'ARNOUVILLE;15 rue Robert Schuman;;;ARNOUVILLE;95400;95;CRC/CRI - Conservatoire à rayonnement communal;95;01.34.45.97.12;48.989256;2.420708;48.989256, 2.420708
CONSERVATOIRE DE ROISSY-EN-FRANCE;"Centre Culturel  L'Orangerie""";Allée des Vergers;;ROISSY-EN-FRANCE;95700;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 34 29 48 59;49.001003;2.51839;49.001003, 2.51839
